split,cfg,ndcg
0,A_v21_ridge,0.665928900542109
0,B_v24_ridge,0.6658149486958451
0,C_text_clf_ridge,0.6662339845627548
0,BLEND_3ridge,0.6660817265597841
0,BLEND_BC_ridge,0.6649558300831176
0,BLEND_6all,0.666155691805471
0,BLEND_B_ridge_rank,0.6662879153093072
1,A_v21_ridge,0.6591993629147609
1,B_v24_ridge,0.661228661061348
1,C_text_clf_ridge,0.6616742064085145
1,BLEND_3ridge,0.6606749437854812
1,BLEND_BC_ridge,0.6614062168539652
1,BLEND_6all,0.6627168288645766
1,BLEND_B_ridge_rank,0.664731176284951
2,A_v21_ridge,0.668646862774347
2,B_v24_ridge,0.6701991842604537
2,C_text_clf_ridge,0.670398748692863
2,BLEND_3ridge,0.6711179999520499
2,BLEND_BC_ridge,0.6700367674433401
2,BLEND_6all,0.6726447214034
2,BLEND_B_ridge_rank,0.6717668241071519
